'Elapsed time','EMG'
'seconds','mV'
0.379,0.030
0.379,0.130
0.380,0.187
0.380,-0.040
0.380,0.207
0.380,-0.075
0.381,-0.100
0.381,-0.167
0.381,-0.182
0.381,-0.100
0.382,-0.097
0.382,-0.042
0.382,-0.040
0.382,-0.032
0.383,-0.030
0.383,-0.023
0.383,-0.023
0.383,-0.008
0.384,-0.007
0.384,0.007
0.384,0.008
0.384,0.012
0.385,0.012
0.385,0.018
0.385,0.020
0.385,0.015
0.386,0.015
0.386,0.008
0.386,0.010
0.386,0.005
0.387,0.007
0.387,0.002
0.387,0.002
0.387,-0.017
0.388,-0.017
0.388,-0.033
0.388,-0.033
0.388,-0.038
0.389,-0.035
0.389,-0.038
0.389,-0.037
0.389,-0.033
0.390,-0.035
0.390,-0.028
0.390,-0.028
0.390,-0.022
0.391,-0.023
0.391,-0.018
0.391,-0.018
0.391,-0.013
0.392,-0.015
0.392,-0.010
0.392,-0.008
0.392,-0.012
0.393,-0.010
0.393,-0.007
0.393,-0.007
0.393,-0.010
0.394,-0.007
0.394,-0.008
0.394,-0.007
0.394,-0.008
0.395,-0.008
0.395,-0.017
0.395,-0.017
0.395,-0.023
0.396,-0.025
0.396,-0.032
0.396,-0.030
0.396,-0.028
0.397,-0.030
0.397,-0.033
0.397,-0.033
0.397,-0.028
0.398,-0.030
0.398,-0.025
0.398,-0.025
0.398,-0.027
0.399,-0.025
0.399,-0.028
0.399,-0.025
0.399,-0.028
0.400,-0.028
0.400,-0.032
0.400,-0.032
0.400,-0.027
0.401,-0.027
0.401,-0.017
0.401,-0.017
0.401,-0.005
0.402,-0.005
0.402,0.007
0.402,0.007
0.402,0.022
0.403,0.023
0.403,0.035
0.403,0.035
0.403,0.028
0.404,0.027
0.404,0.020
0.404,0.022
0.404,0.017
0.405,0.017
0.405,0.012
0.405,0.010
0.405,0.007
0.406,0.008
0.406,0.012
