'Elapsed time','ECG ECG'
'seconds','mV'
2.056,-0.062
2.058,-0.062
2.060,-0.061
2.062,-0.061
2.064,-0.062
2.066,-0.063
2.068,-0.064
2.070,-0.066
2.072,-0.068
2.074,-0.068
2.076,-0.068
2.078,-0.066
2.080,-0.064
2.082,-0.062
2.084,-0.061
2.086,-0.059
2.088,-0.058
2.090,-0.058
2.092,-0.057
2.094,-0.057
2.096,-0.057
2.098,-0.056
2.100,-0.056
2.102,-0.056
2.104,-0.055
2.106,-0.054
2.108,-0.053
2.110,-0.053
2.112,-0.053
2.114,-0.053
2.116,-0.053
2.118,-0.053
2.120,-0.052
2.122,-0.050
2.124,-0.048
2.126,-0.047
2.128,-0.046
2.130,-0.046
2.132,-0.047
2.134,-0.048
2.136,-0.049
2.138,-0.049
2.140,-0.049
2.142,-0.049
2.144,-0.049
2.146,-0.049
2.148,-0.049
2.150,-0.049
2.152,-0.049
2.154,-0.049
2.156,-0.050
2.158,-0.051
2.160,-0.053
2.162,-0.054
2.164,-0.054
2.166,-0.054
2.168,-0.053
2.170,-0.053
2.172,-0.053
2.174,-0.053
2.176,-0.054
2.178,-0.055
2.180,-0.057
2.182,-0.058
2.184,-0.058
2.186,-0.058
2.188,-0.057
2.190,-0.055
2.192,-0.054
2.194,-0.052
2.196,-0.050
2.198,-0.049
2.200,-0.047
2.202,-0.047
2.204,-0.046
2.206,-0.046
2.208,-0.045
2.210,-0.043
2.212,-0.041
2.214,-0.038
2.216,-0.035
2.218,-0.034
2.220,-0.033
2.222,-0.033
2.224,-0.034
2.226,-0.035
2.228,-0.034
2.230,-0.032
2.232,-0.028
2.234,-0.022
2.236,-0.016
2.238,-0.010
2.240,-0.004
2.242,0.001
2.244,0.004
2.246,0.007
2.248,0.009
2.250,0.012
2.252,0.015
2.254,0.020
2.256,0.026
2.258,0.032
2.260,0.038
2.262,0.041
2.264,0.042
2.266,0.039
2.268,0.033
2.270,0.024
2.272,0.014
2.274,0.003
2.276,-0.008
2.278,-0.017
2.280,-0.026
2.282,-0.032
2.284,-0.038
2.286,-0.044
2.288,-0.049
2.290,-0.055
2.292,-0.061
2.294,-0.067
